name,latitude,longitude
Le Mans,48.0,0.2
Lecce,40.357029,18.17202
Leeds,53.796478,-1.54785
Leicester,52.638599,-1.13169
Leipzig,51.339619,12.37129
Leuven,50.879589,4.70093
Leverkusen,51.0303,6.98432
Lille,50.632969,3.05858
Limoges,45.831532,1.2578
Lisbon,38.716671,-9.13333
Liverpool,53.41058,-2.97794
Livorno,43.542641,10.316
Liège,50.633732,5.56749
Ljubljana,46.051079,14.50513
London,51.50853,-0.12574
Lublin,51.25,22.566669
Lucca,43.843571,10.50585
Luimneach,52.664719,-8.62306
Luton,51.879669,-0.41748
Lyon,45.748459,4.84671
Lübeck,53.868931,10.68729
Maastricht,50.848331,5.68889
Madrid,40.4165,-3.70256
Magdeburg,52.127731,11.62916
Mainz,49.984192,8.2791
Malmö,55.605869,13.00073
Manchester,53.480949,-2.23743
Mannheim,49.496712,8.47955
Marbella,36.51543,-4.88583
Marsala,37.796638,12.43518
Marseille,43.296951,5.38107
Messina,38.193272,15.54969
Mestre,45.49028,12.2425
Metz,49.11911,6.17269
Milan,45.464272,9.18951
Modena,44.647831,10.92539
Montpellier,43.61092,3.87723
Moscow,55.75222,37.615559
Mulhouse,47.75,7.33333
Murcia,37.987041,-1.13004
Málaga,36.720161,-4.42034
Mülheim (Ruhr),51.433331,6.88333
München,48.137428,11.57549
Münster,51.96236,7.62571
Namur,50.4669,4.86746
Nantes,47.217251,-1.55336
Napoli,40.833328,14.25
Neuß,51.198071,6.68504
Newcastle upon Tyne,54.973282,-1.61396
Nice,43.703129,7.26608
Nijmegen,51.842499,5.85278
Northampton,52.25,-0.88333
Norwich,52.627831,1.29834
Nottingham,52.953602,-1.15047
Novi Sad,45.251671,19.836941
Novosibirsk,55.0415,82.934601
Nîmes,43.833328,4.35
Nürnberg,49.454208,11.07752
Oberhausen,51.47311,6.88074
Odessa,46.47747,30.73262
Olsztyn,53.779949,20.49416
Oradea,47.066669,21.933331
Orléans,47.902889,1.90389
Oslo,59.912731,10.74609
Osnabrück,52.27264,8.0498
Ostrava,49.834648,18.28204
Oulu,65.01236,25.468161
Oviedo,43.360291,-5.84476
Oxford,51.75222,-1.25596
Padova,45.415192,11.88181
Palermo,38.115822,13.35976
Palma,39.569389,2.65024
Pamplona,42.816872,-1.64323
Paris,48.853409,2.3488
Parma,44.802662,10.32898
Perpignan,42.697639,2.89541
Perugia,43.112202,12.38878
Piraeus,37.947449,23.637079
Pisa,43.71553,10.39659
Ploieşti,44.950001,26.01667
Plovdiv,42.150002,24.75
Plymouth,50.371529,-4.14305
Plzeň,49.747471,13.37759
Porto,41.149609,-8.61099
Potsdam,52.398861,13.06566
Poznań,52.406921,16.92993
Prague,50.088039,14.42076
Prato,43.884251,11.09092
Preston,53.76667,-2.71667
Pécs,46.083328,18.23333
Ravenna,44.4175,12.20111
Reading,51.456249,-0.97113
Regensburg,49.014999,12.09556
Reims,49.25,4.03333
Rennes,48.11198,-1.67429
Reykjavík,64.135483,-21.895411
Riga,56.945999,24.10589
Rimini,44.063332,12.58083
Rome,41.894741,12.4839
Roquetas de Mar,36.764191,-2.61475
Rostock,54.088699,12.14049
Rotterdam,51.922501,4.47917
Rouen,49.44313,1.09932
Saint Petersburg,59.89444,30.26417
Saint-Étienne,45.433331,4.4
Salamanca,40.968819,-5.66388
Salerno,40.677971,14.76599
Salzburg,47.799412,13.04399
Samara,53.200062,50.150002
Santa Cruz de Tenerife,28.468241,-16.25462
Santander,43.464722,-3.80444
Santiago de Compostela,42.88052,-8.54569
Sarajevo,43.84864,18.35644
Setúbal,38.524399,-8.8882
Sevilla,37.382408,-5.97613
Sheffield,53.382969,-1.4659
Siracusa,37.085152,15.273
Skopje,42.001221,21.42878
Sochi,43.599171,39.725689
Sofia,42.69751,23.32415
Southampton,50.90395,-1.40428
Split,43.508911,16.43915
Stockholm,59.332581,18.064899
Strasbourg,48.58342,7.74296
Stuttgart,48.782318,9.17702
Szczecin,53.42894,14.55302
Szeged,46.252998,20.148239
Tallinn,59.436958,24.753531
Tampere,61.499111,23.787121
Taranto,40.476109,17.229719
The Hague,52.076672,4.29861
Thessaloníki,40.640282,22.94389
Tilburg,51.555511,5.0913
Timişoara,45.753719,21.22571
Tirana,41.327499,19.81889
Toledo,39.858101,-4.02263
Toruń,53.013748,18.598141
Toulon,43.116669,5.93333
Toulouse,43.604259,1.44367
Tours,47.383331,0.68333
Trier,49.75565,6.63935
Trieste,45.648609,13.78
Turin,45.070492,7.68682
Turku,60.451481,22.26869
Utrecht,52.090832,5.12222
Valencia,39.469749,-0.37739
Valladolid,41.655182,-4.72372
Vantaa,60.29414,25.040991
Varna,43.216671,27.91667
Venezia,45.43861,12.32667
Verona,45.434189,10.99779
Vienna,48.208488,16.37208
Vigo,42.232819,-8.72264
Vilnius,54.689159,25.2798
Vladivostok,43.105621,131.873535
Warsaw,52.229771,21.01178
Wiesbaden,50.082581,8.24932
Wolverhampton,52.585468,-2.12296
Wrocław,51.099998,17.033331
Wuppertal,51.270271,7.16755
Yaroslavl',57.629871,39.87368
Yekaterinburg,56.857498,60.612499
York,53.95763,-1.08271
Zagreb,45.814442,15.97798
Zaragoza,41.656059,-0.87734
Zürich,47.366669,8.55
Århus,56.156738,10.21076
Łódź,51.75,19.466669
